Regulator,Type,Interceptor,WPCP,Distance,Dam_Elev_NAVD,TideGate,EOO_Elev_NAVD,FlapGate
C01,slot,CCHL,SW,8.3473218,178.96,0,,
C02,slot,CCHL,SW,8.298336936,181.27,0,,
C04,slot,CCHL,SW,7.893965594,145.12,0,,
C04A,slot,CCHL,SW,7.657904913,127.38,0,,
C05,slot,CCHL,SW,7.720215539,133.2,0,,
C06,slot,CCHL,SW,7.620594295,115.9,0,,
C07,slot,CCHL,SW,7.533228736,111.6,0,,
C09,slot,CCHL,SW,6.382174391,67.54,0,,
C10,slot,CCHL,SW,6.317034597,59.81,0,,
C11,slot,CCHL,SW,6.191345921,57.32,0,,
C12,slot,CCHL,SW,5.785294654,51.44,0,,
C13,slot,CCHL,SW,4.943471658,39.52,0,,
C14,slot,CCHL,SW,4.719846207,35.05,0,,
C15,slot,CCHL,SW,4.344433208,33.01,0,,
C16,slot,CCHL,SW,4.230889611,34.95,0,,
C17,dam,CCHL,SW,3.854171688,25.83,0,,
C18,slot,CCHL,SW,3.774790981,28.02,0,,
C19,slot,CCLL,SW,3.895345943,22.71,0,,
C20,slot,CCLL,SW,3.377874187,18.86,0,,
C21,slot,CCLL,SW,3.227472624,17.65,0,,
C22,slot,CCLL,SW,2.987911941,15.39,0,,
C23,slot,CCLL,SW,2.755900503,14.82,0,,
C24,slot,CCLL,SW,2.618589853,12.63,0,,
C25,slot,CCLL,SW,2.521676943,15.71,0,,
C26,slot,CCLL,SW,2.426822746,15.72,0,,
C27,slot,CCLL,SW,2.375796215,16.13,0,,
C28A,dam (side wier),CCLL,SW,2.245644658,22.325,0,22.575,0
C29,slot,CCLL,SW,2.039599138,8.13,0,,
C30,slot,CCLL,SW,2.26894012,9.12,0,,
C31,slot,CCHL,SW,8.441588876,131.28,0,,
C32,slot,CCHL,SW,7.7600754,152.96,0,,
C33,slot,CCHL,SW,7.208988102,143.6,0,,
C34,slot,CCHL,SW,7.963776223,170.63,0,,
C35,slot,CCHL,SW,8.180382353,181.3,0,,
C36,slot,CCHL,SW,8.07938232,169.46,0,,
C37,slot,CCHL,SW,7.242994742,155.63,0,,
D02,CC-sluice gate,UDLL,NE,3.668147007,4.82,1,4.8,0
D03,CC-sluice gate,UDLL,NE,3.370230245,4.411666667,1,,
D04,sluice gate,UDLL,NE,3.200533221,4.19,0,,
D05,CC-sluice gate,UDLL,NE,2.844093713,4.793333333,1,,
D06,sluice gate,UDLL,NE,2.615444019,4.71,0,,
D07,CC-sluice gate,UDLL,NE,2.296817023,3.571666667,1,,
D08,sluice gate,UDLL,NE,2.153066977,4.76,0,,
D09,CC-dam,UDLL,NE,2.046816943,9.171666667,1,,
D11,CC-sluice gate,UDLL,NE,1.715902064,4.468333333,1,4.68,1
D12,sluice gate,UDLL,NE,1.17551174,4.85,0,,
D13,sluice gate,UDLL,NE,1.018447296,4.52,0,,
D15,CC-sluice gate,UDLL,NE,0.533049413,3.84,1,,
D17,B & B,S,NE,0.509288042,-0.35,1,,
D18,B & B,S,NE,0.766038124,-0.65,1,,
D19,B & B,S,NE,0.906723775,-0.39,1,,
D20,B & B,S,NE,1.058913218,-1.77,1,,
D21,B & B,S,NE,1.237026911,-2.41,1,4.51,1
D22,B & B,S,NE,1.433684171,-0.6,1,,
D23,dam,S,NE,1.761468367,4.81,1,,
D24,dam,S,NE,1.995369957,2.19,1,,
D25,B & B,S,NE,2.112462181,1.38,1,,
D37,B & B,LDLL,SE,5.264667404,-0.82,1,,
D38,B & B,LDLL,SE,4.943644574,-1.47,1,5.99,0
D39,B & B,LDLL,SE,4.844366134,1.46,1,5.65,0
D40,Slot,LDLL,SE,4.970077348,1.03,1,,
D41,B & B,LDLL,SE,4.634352809,-0.33,1,6.69,0
D42,slot,LDLL,SE,4.502869812,1.92,1,,
D43,Slot,LDLL,SE,4.428803501,0.24,1,,
D44,B & B,LDLL,SE,4.316375434,-0.78,1,4.95,0
D45,B & B,LDLL,SE,4.149049623,-2.33,1,5.25,0
D46,slot,LDLL,SE,3.950470014,-3.29,1,,
D47,B & B,LDLL,SE,3.854775287,0.42,1,4.96,0
D48,B & B,LDLL,SE,3.644873704,-1.64,1,,
D49,B & B,LDLL,SE,3.561540344,-1.27,1,,
D50,B & B,LDLL,SE,3.435038978,-1.07,1,,
